timestamp,age_group,gender,program_of_study,study_programme,study_hours_weekdays,study_hours_weekends,session_length,review_notes,attendance_rate,sleep_hours,screen_time,stress_level,motivation_level,time_management,learning_satisfaction,average_gpa,gpa_range,study_habit_effect,study_hours_weekdays_num,study_hours_weekends_num,sleep_hours_num,screen_time_num,attendance_rate_num,review_notes_num,stress_band,sleep_band
2025-10-22 21:46:50.430,18 - 22,Female,Fashion Design,Bsc,5 - 6 hours,2–3 hours,30–59 minutes,Sometimes,≥90%,5-6,6-8 hours,3,4,3,4,2.5443037974683542,3.0-3.49,"Yes, significantly",5.5,2.5,5.5,7.0,0.95,2,Medium,Good
2025-10-22 21:52:52.368,23 - 26,Female,Fashion Design,Bsc,5 - 6 hours,I don’t study on weekends,2 - 3 hours,Sometimes,75-89%,6-7,4-6 hours,3,3,4,4,2.0,2.5-2.99,"Yes, significantly",5.5,,6.5,5.0,0.82,2,Medium,Good
2025-10-22 22:48:49.276,18 - 22,Male,Management ,Bsc,2 - 3 hours,2–3 hours,2 - 3 hours,Sometimes,50–74%,7-8,2-4 hours,3,3,2,3,3.0,3.0-3.49,Somewhat,2.5,2.5,7.5,3.0,0.62,2,Medium,Good
2025-10-23 19:02:31.889,18 - 22,Female,Data Science,Advanced Diploma,2 - 3 hours,2–3 hours,1–2 hours,Often,75-89%,6-7,4-6 hours,3,3,2,4,2.0,2.5-2.99,"Yes, significantly",2.5,2.5,6.5,5.0,0.82,3,Medium,Good
2025-10-23 19:03:53.697,18 - 22,Male,Data Science,Advanced Diploma,3 - 4 hours,2–3 hours,1–2 hours,Often,75-89%,7-8,2-4 hours,4,4,3,4,3.0,2.5-2.99,Somewhat,3.5,2.5,7.5,3.0,0.82,3,Medium,Good
2025-10-23 19:06:00.708,23 - 26,Male,Data Science,Higher National Diploma,3 - 4 hours,4–5 hours,1–2 hours,Always,≥90%,6-7,2-4 hours,3,4,2,4,3.0,3.0-3.49,"Yes, significantly",3.5,4.5,6.5,3.0,0.95,4,Medium,Good
2025-10-23 19:07:56.138,23 - 26,Male,Fashion Design,Advanced Diploma,3 - 4 hours,2–3 hours,1–2 hours,Often,75-89%,6-7,4-6 hours,3,3,3,4,2.0,2.5-2.99,Somewhat,3.5,2.5,6.5,5.0,0.82,3,Medium,Good
2025-10-23 19:11:12.880,18 - 22,Female,Data Science,Advanced Diploma,2 - 3 hours,3–4 hours,1–2 hours,Always,≥90%,6-7,2-4 hours,3,4,2,4,3.0,3.0-3.49,Maybe,2.5,3.5,6.5,3.0,0.95,4,Medium,Good
2025-10-23 19:13:05.075,<18,Female,Data Science,Foundation,1 - 2 hours,2–3 hours,1–2 hours,Sometimes,50–74%,6-7,4-6 hours,4,4,3,4,3.0,3.0-3.49,Not sure,1.5,2.5,6.5,5.0,0.62,2,Medium,Good
2025-10-23 19:16:34.790,23 - 26,Female,Data Science,Higher National Diploma,2 - 3 hours,4–5 hours,1–2 hours,Always,≥90%,6-7,<2 hours,3,4,3,4,3.0,3.0-3.49,"Yes, significantly",2.5,4.5,6.5,0.5,0.95,4,Medium,Good
2025-10-23 19:16:56.103,23 - 26,Male,Interior Architecture,Bsc,4 -5 hours,Less than 1 hour,30–59 minutes,Sometimes,75-89%,6-7,4-6 hours,5,4,3,3,3.0,3.5-4.0,"Yes, significantly",2.6066666666666665,0.5,6.5,5.0,0.82,2,High,Good
2025-10-23 19:26:06.225,27 - 35,Female,Fashion Design,Higher National Diploma,5 - 6 hours,3–4 hours,1–2 hours,Often,50–74%,8-9,6-8 hours,2,3,4,4,3.0,3.0-3.49,Maybe,5.5,3.5,8.5,7.0,0.62,3,Low,Good
2025-10-23 19:27:50.345,18 - 22,Male,Psychology,Advanced Diploma,More than 5 hours,I don’t study on weekends,2 - 3 hours,Never,≥90%,5-6,6-8 hours,4,5,4,3,2.0,2.5-2.99,Not really,2.6066666666666665,,5.5,7.0,0.95,1,Medium,Good
2025-10-23 19:34:13.444,23 - 26,Male,Data Science,Higher National Diploma,3 - 4 hours,1–2 hours,30–59 minutes,Sometimes,50–74%,6-7,2-4 hours,2,2,2,1,2.0,2.0-2.49,Somewhat,3.5,1.5,6.5,3.0,0.62,2,Low,Good
2025-10-23 19:36:27.470,23 - 26,Female,Data Science,Bsc,2 - 3 hours,More than 5 hours,1–2 hours,Always,≥90%,6-7,2-4 hours,4,4,4,4,4.0,3.5-4.0,"Yes, significantly",2.5,9.5,6.5,3.0,0.95,4,Medium,Good
2025-10-23 19:38:22.089,23 - 26,Male,Data Science,Bsc,2 - 3 hours,3–4 hours,1–2 hours,Always,75-89%,6-7,2-4 hours,4,4,4,4,3.0,3.0-3.49,Maybe,2.5,3.5,6.5,3.0,0.82,4,Medium,Good
2025-10-23 19:40:49.914,23 - 26,Female,Psychology,Bsc,2 - 3 hours,4–5 hours,30–59 minutes,Sometimes,75-89%,5-6,6-8 hours,3,3,2,4,2.5443037974683542,3.5-4.0,"Yes, significantly",2.5,4.5,5.5,7.0,0.82,2,Medium,Good
2025-10-23 20:20:33.597,18 - 22,Female,Business science ,Bsc,2 - 3 hours,3–4 hours,30–59 minutes,Sometimes,75-89%,6-7,2-4 hours,4,3,3,4,2.5443037974683542,3.5-4.0,"Yes, significantly",2.5,3.5,6.5,3.0,0.82,2,Medium,Good
2025-10-23 20:24:53.953,23 - 26,Male,Data Science,Higher National Diploma,2 - 3 hours,3–4 hours,1–2 hours,Sometimes,50–74%,5-6,4-6 hours,2,4,4,4,3.0,3.0-3.49,Somewhat,2.5,3.5,5.5,5.0,0.62,2,Low,Good
2025-10-23 20:47:37.213,18 - 22,Female,Business science ,Bsc,3 - 4 hours,2–3 hours,30–59 minutes,Sometimes,75-89%,6-7,6-8 hours,3,2,3,4,3.0,3.0-3.49,"Yes, significantly",3.5,2.5,6.5,7.0,0.82,2,Medium,Good
